"1","Alex2","Off",,"3","Jonathan5",
"1","Max14","Off",,"5","Frank8",
"1","Joeseph9","Def",,"7","Martin16",
"1","John4","Off",,"4","Sherman12",
"1","Marcus17","Def",,"4","Karen13",
"1","Jose15","Def",,"8","Ryan18",
"1","Danny19","na",,"9","Chris20",
"1","Vivien3","Off",,"8","Jessica10",
"2","Tom11","na",,"3","Alex2",
"2","Sherman12","Def",,"5","Jose15",
"2","Max14","Off",,"5","Ryan18",
"2","Joeseph9","Def",,"7","Karen13",
"2","Marcus17","Def",,"4","Jessica10",
"3","Danny19","na",,"9","Jeffrey1",
"3","Jose15","Def",,"8","Ryan18",
"3","Marcus17","Def",,"4","Khoman 6",
"3","Michael7","na",,"8","Frank8",
"3","Martin16","Off",,"6","Alex2",
"3","Vivien3","Off",,"8","",""
"4","Marcus17","Def",,"4","John4",
"4","Joeseph9","Def",,"7","Karen13",
"4","Max14","Off",,"5","Jose15",
"4","Khoman 6","Def",,"6","Chris20",
"4","Vivien3","Off",,"8","Martin16",
"4","Ryan18","na",,"5","Sherman12",
"4","Jessica10","Off",,"7","Michael7",
"4","Alex2","Off",,"3","Jeffrey1",
"5","Joeseph9","Def",,"7","Vivien3",
"5","Jeffrey1","Off",,"7","Chris20",
"5","Frank8","Off",,"9","John4",
"5","Danny19","na",,"9","Ryan18",
"5","Max14","Off",,"5","Jessica10",
"5","Khoman 6","Def",,"6","Marcus17",
"5","Michael7","na",,"8","Sherman12",
"6","Vivien3","Off",,"8","Michael7",
"6","Joeseph9","Def",,"7","Jonathan5",
"6","Jeffrey1","Off",,"7","John4",
"6","Karen13","Def",,"7","Martin16",
"6","Jose15","Def",,"8","Ryan18",
"6","Khoman 6","Def",,"6","Alex2",
"7","John4","Off",,"4","Max14",
"7","Marcus17","Def",,"4","Chris20",
"7","Frank8","Off",,"9","Alex2",
"7","Jeffrey1","Off",,"7","Michael7",
"7","Khoman 6","Def",,"6","Jonathan5",
"7","Martin16","Off",,"6","Tom11",
"7","Vivien3","Off",,"8","Danny19",
"8","John4","Off",,"4","Alex2",
"8","Sherman12","Def",,"5","Chris20",
"8","Tom11","na",,"3","Martin16",
"8","Jeffrey1","Off",,"7","Max14",
"8","Khoman 6","Def",,"6","Vivien3",
"8","Danny19","na",,"9","Joeseph9",
"9","Danny19","na",,"9","Alex2",
"9","Joeseph9","Def",,"7","Tom11",
"9","Khoman 6","Def",,"6","Jose15",
"9","Karen13","Def",,"7","Marcus17",
"9","Frank8","Off",,"9","Vivien3",
"9","Chris20","Def",,"3","Max14",
"9","Jonathan5","Def",,"9","Martin16",
"10","Vivien3","Off",,"8","Jose15",
"10","Ryan18","na",,"5","Frank8",
"10","Danny19","na",,"9","Chris20",
"10","Martin16","Off",,"6","Max14",
"10","John4","Off",,"4","Joeseph9",
"10","Khoman 6","Def",,"6","Michael7",
"10","Tom11","na",,"3","Sherman12",
"11","Joeseph9","Def",,"7","Sherman12",
"11","Jonathan5","Def",,"9","Vivien3",
"11","Jose15","Def",,"8","Max14",
"11","John4","Off",,"4","Jeffrey1",
"11","Karen13","Def",,"7","Martin16",
"11","Chris20","Def",,"3","Danny19",
"11","Ryan18","na",,"5","Frank8",
"12","John4","Off",,"4","Chris20",
"12","Vivien3","Off",,"8","Karen13",
